R,Nome,Squadra,Fm,Punteggio
C,Pogba,Juventus,6.0,0.0
C,Cataldi,Lazio,6.0,6.0
C,Verdi,Torino,0.0,0.0
C,Barak,Fiorentina,6.0,0.0
C,Garritano,Frosinone,6.17,5.5
C,Schouten,Bologna,0.0,0.0
C,Weah,Juventus,6.08,7.0
C,Brescianini,Frosinone,6.0,6.0
C,Gyasi,Empoli,6.4,10.0
C,Sabiri,Fiorentina,0.0,0.0
C,Strootman,Genoa,6.1,0.0
C,Jankto,Cagliari,6.5,8.0
C,Klaassen,Inter,6.0,0.0
C,Aebischer,Bologna,6.0,6.0
C,Vignato S.,Monza,6.42,6.5
C,Krunic,Milan,5.92,5.5
C,Viola,Cagliari,7.17,9.5
C,Freuler,Bologna,5.8,6.5
C,Kastanos,Salernitana,5.67,4.5
C,Amrabat,Fiorentina,0.0,0.0
C,Miranchuk,Atalanta,6.0,6.0
C,Bove,Roma,5.93,5.5
C,Harroui,Frosinone,8.67,0.0
C,Blin,Lecce,5.9,0.0
C,Fazzini,Empoli,5.86,7.0
C,Barrenechea,Frosinone,5.94,5.5
C,Mboula,Verona,5.5,0.0
C,Boloca,Sassuolo,5.75,5.0
C,Ramadani,Lecce,5.78,5.5
C,Cajuste ,Napoli,5.75,7.0
C,Tchatchoua,Verona,7.0,6.0
C,Payero,Udinese,5.75,6.0
C,Grassi,Empoli,5.5,7.5
C,Walace,Udinese,5.5,5.5
C,Bennacer,Milan,0.0,0.0
C,Sottil,Fiorentina,5.7,5.5
C,Gaetano,Napoli,7.75,0.0
C,Castrovilli,Fiorentina,0.0,0.0
C,Rovella,Lazio,5.83,5.5
C,Tameze,Torino,5.71,5.5
C,Pobega,Milan,6.0,0.0
C,Zalewski,Roma,5.7,6.0
C,Coulibaly L.,Salernitana,5.88,5.5
C,Thorstvedt,Sassuolo,5.75,6.0
C,Moro N.,Bologna,6.0,0.0
C,Iling Junior,Juventus,6.5,0.0
C,Fabbian,Bologna,8.0,0.0
C,Oristanio,Cagliari,5.75,5.5
C,El Azzouzi,Bologna,6.33,0.0
C,Folorunsho,Verona,5.78,5.0
C,Kaba,Lecce,5.62,5.5
C,Martegani,Salernitana,5.69,4.5
C,Kutlu,Genoa,6.0,0.0
C,Mancosu,Cagliari,6.0,6.0
C,Badelj,Genoa,5.5,0.0
C,Machin,Monza,5.88,5.0
C,Baez,Frosinone,5.75,5.5
C,Aramu,Genoa,0.0,0.0
C,Linetty,Torino,5.6,5.0
C,Castillejo,Sassuolo,5.62,5.5
C,Lopez M.,Fiorentina,5.0,0.0
C,Saelemaekers,Bologna,5.88,7.5
C,Racic,Sassuolo,6.0,5.0
C,Maleh,Empoli,5.36,6.0
C,Hongla,Verona,5.71,5.5
C,Bohinen,Salernitana,5.71,0.0
C,Miretti,Juventus,5.58,0.0
C,Marcos Antonio,Lazio,0.0,0.0
C,Adli,Milan,6.12,6.0
C,Gonzalez J.,Lecce,5.25,0.0
C,Makoumbou,Cagliari,5.56,5.5
C,Serdar,Verona,5.6,5.5
C,Deiola,Cagliari,5.4,5.0
